2022-06-27 10:18:47.158[1656321527158] | INFO  | main       | c.bitcoinprice.login.DemoApplication - Starting DemoApplication using Java 16.0.1 on Clinton with PID 7668 (C:\Users\Clinton\Documents\GitHub\MastersProject\Masters-Login\target\classes started by Clinton in C:\Users\Clinton\Documents\GitHub\MastersProject\Masters-Login)
2022-06-27 10:18:47.162[1656321527162] | INFO  | main       | c.bitcoinprice.login.DemoApplication - No active profile set, falling back to default profiles: default
2022-06-27 10:18:48.187[1656321528187] | INFO  | main       | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-06-27 10:18:48.262[1656321528262] | INFO  | main       | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70 ms. Found 2 MongoDB repository interfaces.
2022-06-27 10:18:48.908[1656321528908] | INFO  | main       | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port(s): 8085 (http)
2022-06-27 10:18:48.919[1656321528919] | INFO  | main       | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8085"]
2022-06-27 10:18:48.920[1656321528920] | INFO  | main       | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2022-06-27 10:18:48.920[1656321528920] | INFO  | main       | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/9.0.52]
2022-06-27 10:18:49.037[1656321529037] | INFO  | main       | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2022-06-27 10:18:49.037[1656321529037] | INFO  | main       | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1797 ms
2022-06-27 10:18:49.280[1656321529280] | INFO  | main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.kyxidkt.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-f2ncas-shard-0'}
2022-06-27 10:18:49.333[1656321529333] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-27 10:18:49.366[1656321529366] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-27 10:18:49.368[1656321529368] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-27 10:18:50.032[1656321530032] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:2, serverValue:467239}] to ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.032[1656321530032] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:3, serverValue:515992}] to ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.032[1656321530032] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:6, serverValue:472006}] to ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.032[1656321530032] | INFO  | cluster-rtt-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:4, serverValue:471997}] to ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.032[1656321530032] | INFO  | cluster-rtt-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:5, serverValue:467243}] to ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.032[1656321530032] | INFO  | cluster-rtt-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:1, serverValue:515989}] to ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.033[1656321530033] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 | org.mongodb.driver.cluster           - Monitor thread successfully connected to server with description ServerDescription{address=ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=335894300, setName='atlas-f2ncas-shard-0', canonicalAddress=ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017, hosts=[ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017, ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017, ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=62a9f62458af8d16f5464d8f, counter=4}, lastWriteDate=Mon Jun 27 10:18:55 BST 2022, lastUpdateTimeNanos=113907953158100}
2022-06-27 10:18:50.033[1656321530033] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 | org.mongodb.driver.cluster           - Monitor thread successfully connected to server with description ServerDescription{address=ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=326791300, setName='atlas-f2ncas-shard-0', canonicalAddress=ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017, hosts=[ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017, ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017, ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=62a9f83aaec4bdc23701b02f, counter=3}, lastWriteDate=Mon Jun 27 10:18:55 BST 2022, lastUpdateTimeNanos=113907953059400}
2022-06-27 10:18:50.033[1656321530033] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.cluster           - Monitor thread successfully connected to server with description ServerDescription{address=ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=329749900, setName='atlas-f2ncas-shard-0', canonicalAddress=ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017, hosts=[ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017, ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017, ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000004d, setVersion=7, topologyVersion=TopologyVersion{processId=62a9f73e32d5ff72c8fd3326, counter=6}, lastWriteDate=Mon Jun 27 10:18:55 BST 2022, lastUpdateTimeNanos=113907953166400}
2022-06-27 10:18:50.035[1656321530035] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.cluster           - Setting max election id to 7fffffff000000000000004d from replica set primary ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.035[1656321530035] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.cluster           - Setting max set version to 7 from replica set primary ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.036[1656321530036] | INFO  | cluster-ClusterId{value='62b975f93f14876ab9153204', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.cluster           - Discovered replica set primary ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
2022-06-27 10:18:50.573[1656321530573] | INFO  | main       | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:7, serverValue:515989}] to ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
