2022-06-09 07:27:45.340[1654756065340] | INFO  | main       | c.bitcoinprice.login.DemoApplication - Starting DemoApplication using Java 16.0.1 on Clinton with PID 4884 (C:\Users\Clinton\Documents\GitHub\MastersProject\Masters-Login\target\classes started by Clinton in C:\Users\Clinton\Documents\GitHub\MastersProject\Masters-Login)
2022-06-09 07:27:45.344[1654756065344] | INFO  | main       | c.bitcoinprice.login.DemoApplication - No active profile set, falling back to default profiles: default
2022-06-09 07:27:46.377[1654756066377] | INFO  | main       | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-06-09 07:27:46.452[1654756066452] | INFO  | main       | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71 ms. Found 2 MongoDB repository interfaces.
2022-06-09 07:27:47.084[1654756067084] | INFO  | main       | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port(s): 8080 (http)
2022-06-09 07:27:47.096[1654756067096] | INFO  | main       | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-09 07:27:47.096[1654756067096] | INFO  | main       | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2022-06-09 07:27:47.097[1654756067097] | INFO  | main       | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/9.0.52]
2022-06-09 07:27:47.213[1654756067213] | INFO  | main       | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2022-06-09 07:27:47.213[1654756067213] | INFO  | main       | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1788 ms
2022-06-09 07:27:47.482[1654756067482] | INFO  | main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.kyxidkt.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-f2ncas-shard-0'}
2022-06-09 07:27:47.537[1654756067537] | INFO  | cluster-ClusterId{value='62a192e3c459047acceaa017', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-02.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:27:47.571[1654756067571] | INFO  | cluster-ClusterId{value='62a192e3c459047acceaa017', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-00.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:27:47.573[1654756067573] | INFO  | cluster-ClusterId{value='62a192e3c459047acceaa017', description='null'}-srv-cluster0.kyxidkt.mongodb.net | org.mongodb.driver.cluster           - Adding discovered server ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 to client view of cluster
2022-06-09 07:27:48.259[1654756068259] | INFO  | cluster-ClusterId{value='62a192e3c459047acceaa017', description='null'}-ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:4, serverValue:252684}] to ac-6wuhho0-shard-00-01.kyxidkt.mongodb.net:27017
